campaign_id,campaign_name,start_date,end_date,promotional_price,advertising_price,product_id
da537794-33a1-48e1-82e4-bb068c08403f,valentines day,2018-02-16,2023-02-20,664.87,10153,0f904af5-67e3-4141-b654-6525f6bca0b3
e6d2d689-5abb-4c75-aaec-c1418b734bda,thanks giving,2019-11-27,2023-11-30,1174.08,17099,ad51e12e-250a-48f9-a661-fe900e44bedc
a4e7301d-ea9d-41de-bea9-caa2615a453e,normal day,2021-08-13,2021-08-14,109.82,9844,a72cfdf8-a341-4955-86c5-8ec1837dedf0
f583c64d-7db3-4242-884d-80ee871c0778,normal day,2021-08-24,2021-08-25,378.97,5556,e02b44cb-0fb4-4f34-84f4-e9990a08bdb6
1cd2c0c7-5473-4595-a98a-6199d5420825,thanks giving,2023-11-18,2023-11-30,1071.67,8755,0446e99c-33c7-4627-bfef-105fd7fa16ad
eb3a37fb-bbf5-4de8-9805-2d5a6072d7f8,normal day,2021-03-03,2021-03-04,609.23,6453,6b20566c-f88c-41b9-8753-ed276b80f3c9
0328bdc2-6a75-4aa2-af39-e497e44e6c9e,season end sale,2021-06-26,2023-07-31,265.01,89749,d28c6f31-a226-41a6-b32b-a0899772871c
e845a22b-9b6e-4b79-bdc4-e4324fa4f652,normal day,2020-04-25,2020-04-26,177.53,9957,25c97175-ed0a-4ac4-8107-778b362f9bf3
958dc037-b08c-4998-bf3b-dee720777a81,christmas and new year,2022-12-15,2023-12-31,25834.73,34408,47d2ed03-0335-4d4a-b298-6e84317ab8dc
64e5b062-e3b7-4b2b-888b-2a8e5cea9a44,christmas and new year,2018-12-25,2023-12-31,5631.88,62010,b721a680-acde-4e4a-a78a-d774f1bc998e
f0f9bc89-f496-4105-8bf3-0777b3354bab,normal day,2018-01-08,2018-01-09,237.86,5976,2fe075bb-c3c6-444d-8538-fcad2e5977cc
5624fae9-6ed4-4f4a-b69d-1449e2dbfc64,normal day,2023-03-06,2023-03-07,66.79,7920,32a56b15-7684-4650-a7f6-c1ff8a387c41
377586c0-092a-41ca-ad34-dfd122788991,prime day,2020-07-01,2023-08-01,1852.34,90736,d655cc6d-0ab2-486b-a38a-55fb51987d94
8ad44abc-9ccb-4188-bf19-a1304066afa0,normal day,2019-01-17,2019-01-18,67.45,6433,08d80d0d-b560-4760-b72c-719db7b440af
f7220bdc-6f9e-45c5-912a-86f9557a97ee,christmas and new year,2021-12-12,2023-12-31,482.98,44259,dd6b3e47-3f1c-4213-8e4f-4bdbb1b7a5a9
ea04f646-97be-4805-a5ab-22937aff0457,normal day,2023-11-12,2023-11-13,114.58,9304,1c122f61-a791-4219-8b2b-85443eb0c7ef
ff999e5b-865c-4845-9e5b-697fc9f693a8,normal day,2022-08-12,2022-08-13,1028.53,7900,40c6223f-707c-4ab5-8d74-babdd4da8602
86253c5b-9079-440a-a08f-3769a2038f4f,normal day,2019-04-09,2019-04-10,210.15,6333,ab5b518c-b2e9-4de4-b7df-9220afd284cb
08d78295-b368-43f4-9c76-16c7ec87a146,normal day,2021-10-08,2021-10-09,157.59,7391,538a58f3-9f78-42d6-a786-090338a7773a
d6009767-9150-485c-9ba5-2f0af6892e21,christmas and new year,2023-12-20,2023-12-31,5661.1,61629,3a2d56a3-8db0-436d-b59f-2efb9d442691
17a73979-b44d-4441-81ec-b3a4008cad49,normal day,2019-10-10,2019-10-11,111.29,9850,f438fd73-21d0-405c-ac3d-3a91e6e276da
078b394a-47dd-4bc8-98ad-8283434e8873,valentines day,2020-02-27,2023-02-20,2380.39,18360,76fe7ce8-daf7-4e80-81f9-609c67f88f31
f556ea40-cd76-4500-ab75-9a96971aa4b0,normal day,2018-03-26,2018-03-27,722.73,7798,aa97d50b-1b90-49bd-ba78-5739822e4e25
0d1535d1-1318-4eb6-b9e3-8987cb4caed5,normal day,2022-03-12,2022-03-13,1202.84,9557,750d455f-d3f5-4ffe-9a77-866b05ab3912
6437c619-5987-40c5-9af4-c3d3e078f242,normal day,2022-03-30,2022-03-31,1116.64,7276,949e814e-cfab-4e8f-8192-0ab33e48a8eb
c4ee6c8e-46e1-436b-9a36-637aabc8e132,normal day,2019-03-13,2019-03-14,134.38,5037,938d3f80-703c-41cd-8a4b-2ef37414728a
612c0aa2-1b22-4baf-8c70-76ee2d032bb1,normal day,2022-04-24,2022-04-25,215.21,5088,d1e72baa-f541-4d42-ab2a-f87a535368fa
9758d301-3243-4cc7-a85c-7509d69352ad,normal day,2019-04-18,2019-04-19,262.79,6458,4df97864-3b0a-4337-a29e-5100ce28eb57
ebcc633a-c404-4c85-bd88-416c7e1fc753,normal day,2021-01-07,2021-01-08,2097.68,6316,24edadff-53c8-46da-baa6-e72e9096cfea
544d371a-3f2f-4d41-8c50-1975aaf3d0c1,normal day,2018-04-09,2018-04-10,158.0,6745,e8c54948-4e94-4b9e-b9e3-a84dfe8cb027
fe8e1f58-5cd1-4fc0-a4ca-623e8871f59c,normal day,2019-03-27,2019-03-28,38.32,5391,b9802b3f-4b28-4301-b97d-ad6e28815b26
83908f89-040b-4b3d-862a-7ade780fd58f,normal day,2018-11-03,2018-11-04,318.76,9946,ab5b518c-b2e9-4de4-b7df-9220afd284cb
cec88834-208e-4d35-9d1c-3ee02abca6a7,normal day,2019-03-12,2019-03-13,31.91,5928,db1433a4-02de-4fde-b3aa-bd6076b05a2c
ee75df75-f22a-45dd-913a-eab7a16ea746,normal day,2019-01-05,2019-01-06,124.91,8171,3a23aabe-86ed-4580-83de-350aa35bb639
b1f64bad-5c42-4e82-8df2-3085ac848b57,normal day,2023-11-10,2023-11-11,1126.99,5501,cf0d32af-6efb-4eaa-8fcc-72f7bd353210
cb7fa24b-b7cb-4104-91a9-efd7b6b8ebac,normal day,2018-08-07,2018-08-08,414.34,5766,b2d59193-0ca5-4cf1-a6c7-2e7317d8bc73
41fec175-e92d-4998-b380-aecd95229083,normal day,2023-04-28,2023-04-29,549.46,9614,ec0ea509-a4e3-4f63-8316-df44875e643d
ed601ead-a238-4a89-9fd0-9d65d388146a,normal day,2019-03-28,2019-03-29,976.47,6431,97b63e72-4e23-4f00-b825-cd2306a87a73
5596e3b5-721c-44b9-9a54-73d43944b906,normal day,2022-01-15,2022-01-16,112.87,6839,a46d55cf-d405-4274-a6e2-ec514f2d9689
8ee62400-f10a-43c7-855d-a1a5c192935c,mother's day,2019-05-29,2023-05-15,57871.74,14724,0a5a8e5b-7e81-4338-8292-3450877edf91
0e18a4f2-72dd-4fa1-befd-71d397f0004e,prime day,2021-07-25,2023-08-01,1543.9,65564,c18227b4-19ef-4798-bf8d-425e47089f52
15bfcb3a-65e2-4ede-9523-59b599f295b8,season end sale,2021-06-15,2023-07-31,4651.14,57021,327b7396-01bf-430b-914e-58dcf927d329
